"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","plantedSeedlotStockDbId","plantedSeedlotStockUniquename","plantedSeedlotCurrentCount","plantedSeedlotCurrentWeightGram","plantedSeedlotBoxName","plantedSeedlotTransactionCount","plantedSeedlotTransactionWeight","plantedSeedlotTransactionDescription","availableGermplasmSeedlotUniquenames","intercropGermplasmDbId","intercropGermplasmName","germplasmEntryNumber","notes"
"2025","351","South Dakota State University- Winter Wheat","Sunish Sehgal","10673","2025_AYT_Aurora","2025 AYT Yield Trial @ Aurora","RCBD","","","","","","2024-September-13","2025-July-30","280","Aurora, SD","228290","EXPEDITION","Expedition","plot","1551294","2025_AYT_Aurora-PLOT1001","1","1","1001","10","1","test","","","","","","","","","","","","","",""
"2025","351","South Dakota State University- Winter Wheat","Sunish Sehgal","10673","2025_AYT_Aurora","2025 AYT Yield Trial @ Aurora","RCBD","","","","","","2024-September-13","2025-July-30","280","Aurora, SD","234886","IDEAL","Ideal","plot","1551261","2025_AYT_Aurora-PLOT1002","1","1","1002","10","2","test","","","","","","","","","","","","","",""
"2025","351","South Dakota State University- Winter Wheat","Sunish Sehgal","10673","2025_AYT_Aurora","2025 AYT Yield Trial @ Aurora","RCBD","","","","","","2024-September-13","2025-July-30","280","Aurora, SD","238309","OVERLAND","NE01643,Overland,STEV.BAE.FIRSTSERIE_ENTRY36","plot","1551269","2025_AYT_Aurora-PLOT1003","1","1","1003","10","3","test","","","","","","","","","","","","","",""
"2025","351","South Dakota State University- Winter Wheat","Sunish Sehgal","10673","2025_AYT_Aurora","2025 AYT Yield Trial @ Aurora","RCBD","","","","","","2024-September-13","2025-July-30","280","Aurora, SD","1415479","SD ANDES","","plot","1551260","2025_AYT_Aurora-PLOT1004","1","1","1004","10","4","test","","","","","","","","","","","","","",""
"2025","351","South Dakota State University- Winter Wheat","Sunish Sehgal","10673","2025_AYT_Aurora","2025 AYT Yield Trial @ Aurora","RCBD","","","","","","2024-September-13","2025-July-30","280","Aurora, SD","1550709","SYWOLRINE","","plot","1551273","2025_AYT_Aurora-PLOT1005","1","1","1005","10","5","test","","","","","","","","","","","","","",""
"2025","351","South Dakota State University- Winter Wheat","Sunish Sehgal","10673","2025_AYT_Aurora","2025 AYT Yield Trial @ Aurora","RCBD","","","","","","2024-September-13","2025-July-30","280","Aurora, SD","1284387","WINNER","Winner","plot","1551159","2025_AYT_Aurora-PLOT1006","1","1","1006","10","6","test","","","","","","","","","","","","","",""
"2025","351","South Dakota State University- Winter Wheat","Sunish Sehgal","10673","2025_AYT_Aurora","2025 AYT Yield Trial @ Aurora","RCBD","","","","","","2024-September-13","2025-July-30","280","Aurora, SD","1382716","SD20B044-4","","plot","1551211","2025_AYT_Aurora-PLOT1007","1","1","1007","10","7","test","","","","","","","","","","","","","",""
"2025","351","South Dakota State University- Winter Wheat","Sunish Sehgal","10673","2025_AYT_Aurora","2025 AYT Yield Trial @ Aurora","RCBD","","","","","","2024-September-13","2025-July-30","280","Aurora, SD","1550318","SD22B020-1","","plot","1551085","2025_AYT_Aurora-PLOT1008","1","1","1008","10","8","test","","","","","","","","","","","","","",""
"2025","351","South Dakota State University- Winter Wheat","Sunish Sehgal","10673","2025_AYT_Aurora","2025 AYT Yield Trial @ Aurora","RCBD","","","","","","2024-September-13","2025-July-30","280","Aurora, SD","1550414","SD22B113-5","","plot","1551101","2025_AYT_Aurora-PLOT1009","1","1","1009","10","9","test","","","","","","","","","","","","","",""
"2025","351","South Dakota State University- Winter Wheat","Sunish Sehgal","10673","2025_AYT_Aurora","2025 AYT Yield Trial @ Aurora","RCBD","","","","","","2024-September-13","2025-July-30","280","Aurora, SD","1551009","SD22D121-4","","plot","1551076","2025_AYT_Aurora-PLOT1010","1","1","1010","10","10","test","","","","","","","","","","","","","",""
